Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Miami Heat*,53,29,0.646,—,110,105.6,4.23
Boston Celtics*,51,31,0.622,2,111.8,104.5,7.02
Milwaukee Bucks*,51,31,0.622,2,115.5,112.1,3.22
Philadelphia 76ers*,51,31,0.622,2,109.9,107.3,2.57
Toronto Raptors*,48,34,0.585,5,109.4,107.1,2.38
Chicago Bulls*,46,36,0.561,7,111.6,112,-0.38
Brooklyn Nets*,44,38,0.537,9,112.9,112.1,0.82
Cleveland Cavaliers,44,38,0.537,9,107.8,105.7,2.04
Atlanta Hawks*,43,39,0.524,10,113.9,112.4,1.55
Charlotte Hornets,43,39,0.524,10,115.3,114.9,0.53
New York Knicks,37,45,0.451,16,106.5,106.6,-0.01
Washington Wizards,35,47,0.427,18,108.6,112,-3.23
Indiana Pacers,25,57,0.305,28,111.5,114.9,-3.26
Detroit Pistons,23,59,0.28,30,104.8,112.5,-7.36
Orlando Magic,22,60,0.268,31,104.2,112.2,-7
