,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,season,Team Code,Player Code,Next Pts,player_year,Pts corr,Adj Pts corr,Pts diff,pts_year,Missing_Prev_Year,Total_Games_Played,Avg_Games_Per_Year,Change_Games_Played,Significant_Drop_Games_Played,Overall_Injury_Metric,Normalized_Injury_Metric
40,Aaron Gordon,PF,0.34615384615384626,DEN,0.7976190476190477,0.819277108433735,0.6910755148741419,0.4960629921259842,0.40287769784172656,0.564,0.169811320754717,0.1893939393939394,0.347,0.44628099173553726,0.3675213675213675,0.628,0.40199999999999997,0.27450980392156865,0.3511450381679389,0.608,0.35294117647058826,0.3333333333333333,0.3529411764705882,0.2112676056338028,0.26666666666666666,0.17777777777777778,0.24561403508771926,0.31666666666666665,0.4515235457063712,2023,Denver Nuggets,0.696969696969697,0.31746031746031744,0.6887755102040817,0.0,0.8737113402061851,0.6139240506329111,0.6691842900302114,2022-2023,8,11,,8,0.6768573416750853,-902.9276937945638,1.0866666666666667,1.654378395296327,0,6.988095238095238,0.7764550264550265,-0.08333333333333326,0,0.7514550264550265,0.39482905275748054
55,Aaron Holiday,PG,0.3076923076923077,ATL,0.7380952380952381,0.07228915662650603,0.30663615560640733,0.11811023622047244,0.12589928057553956,0.418,0.11320754716981132,0.10606060606060606,0.409,0.0743801652892562,0.08974358974358974,0.424,0.3333333333333333,0.03921568627450981,0.03816793893129771,0.844,0.05882352941176471,0.06504065040650407,0.0641711229946524,0.09859154929577464,0.19999999999999998,0.044444444444444446,0.10526315789473684,0.21666666666666667,0.10803324099722991,2023,Atlanta Hawks,0.5151515151515151,0.5079365079365079,0.5025510204081632,0.05357142857142857,0.9407216494845358,0.7320675105485228,0.5664652567975831,2022-2023,0,15,,4,-0.558290526239082,1502.136489898874,0.6190476190476191,0.39583286758623765,0,3.607142857142857,0.7214285714285714,0.0,0,0.43285714285714294,0.24099772689664786
71,Aaron Nesmith,SF,0.1923076923076924,IND,0.8571428571428571,0.7228915662650602,0.5697940503432494,0.2755905511811024,0.2913669064748201,0.427,0.30188679245283023,0.32575757575757575,0.366,0.15702479338842976,0.1623931623931624,0.496,0.35,0.15686274509803924,0.1450381679389313,0.838,0.11764705882352942,0.23577235772357721,0.2032085561497326,0.09154929577464789,0.26666666666666666,0.1111111111111111,0.17543859649122806,0.5333333333333333,0.27977839335180055,2023,Indiana Pacers,0.4242424242424242,0.6031746031746033,0.409438775510204,0.4107142857142857,0.8865979381443294,0.7616033755274261,0.44448640483383683,2022-2023,12,19,,2,0.7924058156930613,-0.0,2.6578947368421053,1.025105631441282,0,2.0,0.6666666666666666,0.2499999999999999,0,0.3416666666666666,0.19696745368878513
73,Aaron Wiggins,SG,0.23076923076923084,OKC,0.8214285714285714,0.16867469879518074,0.42334096109839814,0.2125984251968504,0.18705035971223022,0.512,0.1320754716981132,0.12878787878787878,0.393,0.1652892561983471,0.1452991452991453,0.573,0.38599999999999995,0.07843137254901962,0.07633587786259542,0.831,0.14705882352941177,0.16260162601626016,0.16042780748663102,0.07746478873239437,0.19999999999999998,0.044444444444444446,0.14035087719298245,0.26666666666666666,0.18836565096952906,2023,Oklahoma City Thunder,0.5,0.5238095238095237,0.4872448979591837,0.23214285714285712,0.9175257731958761,0.6962025316455698,0.5906344410876133,2022-2023,24,21,,1,-1.0,7295.5,0.8192771084337348,0.690170128099081,0,1.4047619047619047,0.7023809523809523,0.23809523809523803,0,0.28214285714285714,0.16822706647738656
117,Admiral Schofield,PF,0.2692307692307693,ORL,0.42857142857142855,0.0,0.2791762013729977,0.11811023622047244,0.118705035971223,0.451,0.11320754716981132,0.15151515151515152,0.324,0.06611570247933884,0.05555555555555556,0.646,0.366,0.05882352941176471,0.04580152671755725,0.913,0.08823529411764706,0.08943089430894309,0.0909090909090909,0.05633802816901409,0.06666666666666667,0.022222222222222223,0.07017543859649122,0.26666666666666666,0.11634349030470914,2023,Orlando Magic,0.40909090909090906,0.6190476190476191,0.39413265306122447,0.17857142857142855,0.7603092783505154,0.6455696202531644,0.4641238670694864,2022-2023,25,31,,2,0.9819805060619657,-0.0,1.105263157894737,0.426281549708256,0,1.25,0.4166666666666667,-0.011904761904761862,0,0.16309523809523813,0.11074629205458933
181,Al Horford,C,0.6923076923076923,BOS,0.7380952380952381,0.7590361445783133,0.6979405034324943,0.28346456692913385,0.27338129496402874,0.476,0.4339622641509434,0.393939393939394,0.446,0.10743801652892562,0.10256410256410256,0.539,0.418,0.019607843137254905,0.022900763358778626,0.714,0.17647058823529413,0.4065040650406504,0.3315508021390374,0.2112676056338028,0.16666666666666666,0.2222222222222222,0.10526315789473684,0.31666666666666665,0.27146814404432135,2023,Boston Celtics,0.7575757575757576,0.25396825396825395,0.7512755102040816,0.0,0.9278350515463916,0.590717299578059,0.7953172205438066,2022-2023,1,41,,15,-0.22143352414323522,141.59289909433997,0.9607843137254903,0.994656949319264,0,11.869047619047619,0.7418154761904762,-0.0714285714285714,0,1.2396577380952383,0.6305521202567476
257,Alec Burks,SG,0.5,DET,0.5952380952380952,0.0963855421686747,0.5034324942791761,0.30708661417322836,0.3237410071942446,0.436,0.3584905660377359,0.3560606060606061,0.414,0.1652892561983471,0.18376068376068375,0.459,0.3626666666666667,0.2941176470588236,0.2824427480916031,0.814,0.05882352941176471,0.21951219512195122,0.1657754010695187,0.15492957746478875,0.2333333333333333,0.044444444444444446,0.1929824561403509,0.31666666666666665,0.3545706371191136,2023,Detroit Pistons,0.1515151515151515,0.8888888888888888,0.1288265306122449,0.7321428571428571,0.7319587628865976,0.740506329113924,0.2624622356495468,2022-2023,9,52,,11,0.3502488388387486,-394.7012539680331,1.0940170940170941,1.2991437705394469,0,7.904761904761904,0.6587301587301587,-0.3571428571428571,0,0.7492063492063492,0.393743304796161
266,Aleksej Pokusevski,PF,0.11538461538461542,OKC,0.39285714285714285,0.30120481927710846,0.471395881006865,0.25196850393700787,0.26258992805755393,0.434,0.2075471698113208,0.23484848484848486,0.365,0.17355371900826447,0.18376068376068375,0.483,0.33999999999999997,0.05882352941176471,0.07633587786259542,0.629,0.1911764705882353,0.2764227642276423,0.25133689839572193,0.13380281690140844,0.19999999999999998,0.28888888888888886,0.22807017543859648,0.2833333333333333,0.22437673130193905,2023,Oklahoma City Thunder,0.5,0.5238095238095237,0.4872448979591837,0.23214285714285712,0.9175257731958761,0.6962025316455698,0.5906344410876133,2022-2023,24,58,,2,-0.15554275420956248,724.2589111844594,1.0657894736842106,0.8221144172944936,0,1.630952380952381,0.5436507936507936,-0.32142857142857145,0,0.12103174603174603,0.09043641842520096
276,Alex Caruso,PG,0.3846153846153848,CHI,0.7857142857142857,0.43373493975903615,0.5377574370709381,0.1496062992125984,0.15467625899280574,0.455,0.15094339622641512,0.17424242424242423,0.364,0.09090909090909093,0.08547008547008547,0.556,0.36733333333333335,0.08823529411764708,0.08396946564885498,0.808,0.08823529411764706,0.18699186991869918,0.1550802139037433,0.20422535211267606,0.5,0.15555555555555553,0.1929824561403509,0.39999999999999997,0.15512465373961218,2023,Chicago Bulls,0.5,0.5238095238095237,0.4872448979591837,0.3214285714285714,0.804123711340206,0.5991561181434597,0.6061178247734139,2022-2023,5,62,,5,0.1547373367724237,-332.2726411626512,0.7567567567567567,0.5683753996110079,0,3.4047619047619047,0.5674603174603174,0.30952380952380953,0,0.4900793650793651,0.2686268191358724
288,Alex Len,C,0.42307692307692313,SAC,0.2976190476190476,0.024096385542168676,0.14187643020594964,0.047244094488188976,0.043165467625899276,0.533,0.0,0.007575757575757576,0.0,0.049586776859504134,0.047008547008547015,0.571,0.35533333333333333,0.03921568627450981,0.04580152671755725,0.688,0.1323529411764706,0.11382113821138211,0.1229946524064171,0.035211267605633804,0.06666666666666667,0.08888888888888889,0.10526315789473684,0.18333333333333335,0.047091412742382266,2023,Sacramento Kings,0.6212121212121212,0.3968253968253968,0.610969387755102,0.0,1.0,0.7320675105485228,0.6412386706948641,2022-2023,29,66,,9,-0.08793744720951462,110.17682760880086,0.2833333333333333,0.17254253202477024,0,6.976190476190476,0.6976190476190476,-0.1547619047619047,0,0.7209523809523811,0.3801012009998172
313,Alize Johnson,PF,0.3076923076923077,SAS,0.03571428571428571,0.0,0.17162471395881007,0.06299212598425197,0.0539568345323741,0.5,0.0,0.03787878787878788,0.0,0.06611570247933884,0.042735042735042736,0.75,0.3333333333333333,0.029411764705882356,0.03816793893129771,0.5,0.07352941176470588,0.16260162601626016,0.13368983957219252,0.02112676056338028,0.09999999999999999,0.0,0.17543859649122806,0.13333333333333333,0.04986149584487535,2023,San Antonio Spurs,0.2272727272727273,0.8095238095238095,0.2066326530612245,0.5178571428571428,0.8015463917525771,0.8375527426160336,0.18353474320241692,2022-2023,30,76,,4,0.15288795268898334,-416.43620553425285,1.0,0.1826920927321097,0,0.8452380952380952,0.16904761904761906,-0.22619047619047616,0,0.033571428571428585,0.04820720948258594
